question,answer,category,semester,peminatan,source_type
Apa itu Program Magister Teknik Informatika UNPAM?,"Program Magister Teknik Informatika UNPAM adalah program pascasarjana bidang informatika yang berfokus pada penguatan kemampuan analisis, penelitian, pengembangan sistem, dan penerapan teknologi informasi tingkat lanjut.",profil_program,,,manual
Apa tujuan chatbot MTI UNPAM Academic Assistant?,"Chatbot ini dibuat sebagai media bantu informasi akademik agar calon mahasiswa lebih mudah memahami struktur perkuliahan, mata kuliah, peminatan, dan arah kompetensi Program Magister Teknik Informatika UNPAM.",profil_program,,,manual
Apa saja mata kuliah Semester 1 MTI UNPAM?,"Mata kuliah Semester I terdiri dari Algoritma Analisis, Data Mining, Modelling and Optimization, serta Sistem Komputer dan Jaringan.",kurikulum_semester_1,1,,user_provided
Apa yang dipelajari pada Algoritma Analisis?,"Algoritma Analisis membahas konsep perancangan, analisis kompleksitas, dan evaluasi algoritma untuk menyelesaikan masalah komputasi secara sistematis dan efisien.",kurikulum_semester_1,1,,manual
Apa yang dipelajari pada Data Mining?,"Data Mining membahas proses menemukan pola, hubungan, atau pengetahuan dari data melalui preprocessing, eksplorasi data, pemodelan, evaluasi, dan interpretasi hasil.",kurikulum_semester_1,1,,manual
Apa yang dipelajari pada Modelling and Optimization?,Modelling and Optimization membahas pemodelan masalah pengambilan keputusan dan teknik optimasi untuk mendapatkan solusi terbaik berdasarkan tujuan dan kendala tertentu.,kurikulum_semester_1,1,,manual
Apa yang dipelajari pada Sistem Komputer dan Jaringan?,"Sistem Komputer dan Jaringan membahas konsep sistem komputer, arsitektur jaringan, komunikasi data, desain jaringan, dan evaluasi performa infrastruktur teknologi informasi.",kurikulum_semester_1,1,,manual
Apa saja mata kuliah Semester 2 MTI UNPAM?,"Mata kuliah Semester II terdiri dari Statistic and Data Analysis, Audit dan Tata Kelola IT, Advanced Intelligent Systems, serta Metode Penelitian.",kurikulum_semester_2,2,,user_provided
Apa yang dipelajari pada Statistic and Data Analysis?,"Statistic and Data Analysis membahas konsep statistik, analisis data, pengujian hipotesis, dan interpretasi data untuk mendukung pengambilan keputusan berbasis data.",kurikulum_semester_2,2,,manual
Apa yang dipelajari pada Audit dan Tata Kelola IT?,"Audit dan Tata Kelola IT membahas tata kelola teknologi informasi, evaluasi kontrol, manajemen risiko, audit sistem informasi, dan kepatuhan terhadap standar atau kebijakan organisasi.",kurikulum_semester_2,2,,manual
Apa yang dipelajari pada Advanced Intelligent Systems?,"Advanced Intelligent Systems membahas sistem cerdas tingkat lanjut, termasuk konsep kecerdasan buatan, machine learning, reasoning, dan penerapannya dalam penyelesaian masalah kompleks.",kurikulum_semester_2,2,,manual
Apa yang dipelajari pada Metode Penelitian?,"Metode Penelitian membahas perancangan penelitian ilmiah, identifikasi masalah, studi literatur, metodologi, pengumpulan data, analisis, dan penyusunan proposal penelitian.",kurikulum_semester_2,2,,manual
Apa saja peminatan di MTI UNPAM?,"Peminatan yang tersedia meliputi Data Security dan Digital Forensik, IoT atau Internet of Things, serta Data Science.",profil_program,3,,user_provided
Apa saja mata kuliah peminatan Data Security dan Digital Forensik?,"Peminatan Data Security dan Digital Forensik mencakup Pengolahan Citra Digital, Cyber Security, dan Digital Forensik.",peminatan_data_security,3,Data Security dan Digital Forensik,user_provided
